Difficulty,Scene,Algorithm,Success Rate,Timeout Rate,Average Expanded Number,Average Planning Time,Average Current Cost,Average Action Number,Average Tick Time
,RH,bfs,,0.685,3515.27,729.72,26.71,2.33,714.4
,RH,obtea,,0.47,153.415,505.69,31.37,2.93,114.84
,RH,opt_h0_llm,,0.39,63.445,469.4,39.26,3.64,110.71
,RH,hbtp,,0.22,3078.785,381.34,46.36,4.3,6261.67
,RH,opt_h0,,0.18,13.535,336.6,49.93,4.43,169.56
,VH,bfs,,0.335,1582.1,406.51,31.71,2.89,797.41
,VH,obtea,,0.015,191.035,92.32,39.63,3.81,2245.22
,VH,opt_h0_llm,,0.02,89.765,70.37,40.72,3.9,799.87
,VH,hbtp,,0.005,154.27,18.85,43.95,3.97,406.57
,VH,opt_h0,,0.0,7.16,7.5,43.32,3.96,130.26
,RHS,bfs,,0.27,719.01,371.37,39.66,3.64,2203.55
,RHS,obtea,,0.0,137.905,48.27,46.52,4.36,2168.05
,RHS,opt_h0_llm,,0.0,71.255,28.68,49.38,4.6,917.65
,RHS,hbtp,,0.0,81.66,22.21,49.38,4.49,334.52
,RHS,opt_h0,,0.0,10.295,4.6,51.64,4.58,199.54
,RW,bfs,,0.00819672131147541,50.59,18.03,17.07,1.95,183.5
,RW,obtea,,0.0,5.615,0.6,17.8,2.0,49.13
,RW,opt_h0_llm,,0.0,5.205,0.64,17.8,2.0,49.96
,RW,hbtp,,0.0,8.689,0.73,18.0,2.02,60.43
,RW,opt_h0,,0.0,4.246,0.49,17.8,2.0,43.15
