Goal,Optimal_Actions,LLM_Optimal_Actions,Vital_Action_Predicates,Vital_Objects,Time_Limit_Exceeded,Error,Tree_Expanded_Number,Traversed_Number,Exploration_Number,Planning_Time_Total,Current_Cost,Action_Number,Recorded_Action_List,Tick_Time
Closed_Curtain & Holding_MilkDrink & On_Softdrink_Table2,"['MoveTo_Softdrink', 'Turn_Curtain_Off', 'PickUp_Softdrink', 'MoveTo_Table2', 'PutDown_Softdrink_Table2', 'PutDown_Anything_Anywhere', 'MoveTo_MilkDrink', 'PickUp_MilkDrink']","['Turn_Curtain_Closed', 'PickUp_MilkDrink', 'MoveTo_Softdrink', 'PickUp_Softdrink', 'MoveTo_Table2', 'PutDown_Softdrink_Table2']","['MoveTo', 'Turn', 'PickUp', 'PutDown']","['Softdrink', 'Curtain', 'Off', 'Table2', 'Anything', 'Anywhere', 'MilkDrink']",False,False,86,121,86,0.01013946533203125,80,8,"['MoveTo(Softdrink)', 'Turn(Curtain,Off)', 'PickUp(Softdrink)', 'MoveTo(Table2)', 'PutDown(Softdrink,Table2)', 'MoveTo(MilkDrink)', 'PutDown(Anything,Anywhere)', 'PickUp(MilkDrink)']",982
Exists_Dessert & Active_AC & Low_ACTemperature,"['Turn_AC_On', 'Make_Dessert', 'Turn_ACTemperature_Down']","['Make_Dessert', 'Turn_AC_On', 'Turn_ACTemperature_Down']","['Turn', 'Make']","['AC', 'On', 'Dessert', 'ACTemperature', 'Down']",False,False,13,26,13,0.001542806625366211,11,3,"['Turn(AC,On)', 'Make(Dessert)', 'Turn(ACTemperature,Down)']",134
RobotNear_BrightTable5 & IsClean_Floor & On_NFCJuice_Bar,"['MoveTo_NFCJuice', 'Clean_Floor', 'PickUp_NFCJuice', 'MoveTo_Bar', 'PutDown_NFCJuice_Bar', 'MoveTo_BrightTable5']","['MoveTo_Robot_BrightTable5', 'MoveTo_NFCJuice', 'PickUp_NFCJuice', 'MoveTo_Bar', 'PutDown_NFCJuice_Bar']","['MoveTo', 'Clean', 'PickUp', 'PutDown']","['NFCJuice', 'Floor', 'Bar', 'BrightTable5']",False,False,26,32,26,0.0027740001678466797,77,6,"['MoveTo(NFCJuice)', 'Clean(Floor)', 'PickUp(NFCJuice)', 'MoveTo(Bar)', 'PutDown(NFCJuice,Bar)', 'MoveTo(BrightTable5)']",152
Exists_Water & IsClean_Floor & Active_HallLight,"['Turn_HallLight_On', 'Clean_Floor', 'Make_Water']","['Make_Water', 'Clean_Floor', 'Turn_HallLight_On']","['Turn', 'Clean', 'Make']","['HallLight', 'On', 'Floor', 'Water']",False,False,16,29,16,0.0017247200012207031,18,3,"['Turn(HallLight,On)', 'Make(Water)', 'Clean(Floor)']",101
Exists_Dessert & Exists_Water,"['Make_Water', 'Make_Dessert']","['Make_Dessert', 'Make_Water']",['Make'],"['Water', 'Dessert']",False,False,4,7,4,0.00042057037353515625,10,2,"['Make(Water)', 'Make(Dessert)']",36
Holding_ADMilk & IsClean_Floor,"['MoveTo_ADMilk', 'Clean_Floor', 'PickUp_ADMilk']","['MoveTo_ADMilk', 'PickUp_ADMilk', 'Clean_Floor']","['MoveTo', 'Clean', 'PickUp']","['ADMilk', 'Floor']",False,False,10,16,10,0.001096963882446289,27,3,"['MoveTo(ADMilk)', 'Clean(Floor)', 'PickUp(ADMilk)']",70
Exists_Coffee & Active_HallLight,"['Make_Coffee', 'Turn_HallLight_On']",['None_'],"['Make', 'Turn']","['Coffee', 'HallLight', 'On']",False,False,4,7,4,0.0004115104675292969,8,2,"['Make(Coffee)', 'Turn(HallLight,On)']",36
IsClean_Table1 & Low_ACTemperature & Low_ACTemperature,"['Clean_Table1', 'Turn_AC_On', 'Turn_ACTemperature_Down']","['Clean_Table1', 'Turn_ACTemperature_Down']","['Clean', 'Turn']","['Table1', 'AC', 'On', 'ACTemperature', 'Down']",False,False,9,16,9,0.0009691715240478516,16,3,"['Clean(Table1)', 'Turn(AC,On)', 'Turn(ACTemperature,Down)']",64
Exists_Coffee & IsClean_Floor,"['Make_Coffee', 'Clean_Floor']","['Make_Coffee', 'Clean_Floor']","['Make', 'Clean']","['Coffee', 'Floor']",False,False,5,8,5,0.0005099773406982422,15,2,"['Make(Coffee)', 'Clean(Floor)']",41
IsClean_Chairs & On_NFCJuice_Bar2 & On_SpringWater_Table3,"['MoveTo_SpringWater', 'PickUp_SpringWater', 'MoveTo_Table3', 'PutDown_SpringWater_Table3', 'MoveTo_NFCJuice', 'PutDown_Anything_Anywhere', 'Clean_Chairs', 'PickUp_NFCJuice', 'MoveTo_Bar2', 'PutDown_NFCJuice_Bar2']","['Clean_Chairs', 'MoveTo_NFCJuice', 'PickUp_NFCJuice', 'MoveTo_Bar2', 'PutDown_NFCJuice_Bar2', 'MoveTo_SpringWater', 'PickUp_SpringWater', 'MoveTo_Table3', 'PutDown_SpringWater_Table3']","['MoveTo', 'PickUp', 'PutDown', 'Clean']","['SpringWater', 'Table3', 'NFCJuice', 'Anything', 'Anywhere', 'Chairs', 'Bar2']",False,False,117,152,117,0.015403509140014648,122,10,"['Clean(Chairs)', 'MoveTo(SpringWater)', 'PickUp(SpringWater)', 'MoveTo(Table3)', 'PutDown(SpringWater,Table3)', 'MoveTo(NFCJuice)', 'PutDown(Anything,Anywhere)', 'PickUp(NFCJuice)', 'MoveTo(Bar2)', 'PutDown(NFCJuice,Bar2)']",1398
Exists_Water & IsClean_Chairs & Closed_Curtain,"['Clean_Chairs', 'Turn_Curtain_Off', 'Make_Water']","['Make_Water', 'Clean_Chairs', 'Turn_Curtain_Off']","['Clean', 'Turn', 'Make']","['Chairs', 'Curtain', 'Off', 'Water']",False,False,15,29,15,0.0016598701477050781,18,3,"['Clean(Chairs)', 'Make(Water)', 'Turn(Curtain,Off)']",79
On_Chips_BrightTable6 & RobotNear_BrightTable6,"['MoveTo_Chips', 'PickUp_Chips', 'MoveTo_BrightTable6', 'PutDown_Chips_BrightTable6']","['MoveTo_Chips', 'PickUp_Chips', 'MoveTo_BrightTable6', 'PutDown_Chips_BrightTable6']","['MoveTo', 'PickUp', 'PutDown']","['Chips', 'BrightTable6']",False,False,9,10,9,0.0009396076202392578,52,4,"['MoveTo(Chips)', 'PickUp(Chips)', 'MoveTo(BrightTable6)', 'PutDown(Chips,BrightTable6)']",74
Exists_Dessert & IsClean_Table1 & IsClean_Table1,"['Make_Dessert', 'Clean_Table1']","['Make_Dessert', 'Clean_Table1']","['Make', 'Clean']","['Dessert', 'Table1']",False,False,5,8,5,0.0005211830139160156,15,2,"['Make(Dessert)', 'Clean(Table1)']",41
IsClean_Chairs & Closed_Curtain,"['Clean_Chairs', 'Turn_Curtain_Off']","['Clean_Chairs', 'Turn_Curtain_Off']","['Clean', 'Turn']","['Chairs', 'Curtain', 'Off']",False,False,4,6,4,0.00037360191345214844,13,2,"['Clean(Chairs)', 'Turn(Curtain,Off)']",22
Low_ACTemperature & Low_ACTemperature & Closed_Curtain,"['Turn_AC_On', 'Turn_Curtain_Off', 'Turn_ACTemperature_Down']","['Turn_ACTemperature_Down', 'Turn_Curtain_Off']",['Turn'],"['AC', 'On', 'Curtain', 'Off', 'ACTemperature', 'Down']",False,False,7,13,7,0.0007627010345458984,9,3,"['Turn(AC,On)', 'Turn(Curtain,Off)', 'Turn(ACTemperature,Down)']",63
Exists_Coffee & Exists_Water & Active_HallLight,"['Turn_HallLight_On', 'Make_Coffee', 'Make_Water']","['Make_Coffee', 'Make_Water', 'Turn_HallLight_On']","['Turn', 'Make']","['HallLight', 'On', 'Coffee', 'Water']",False,False,13,25,13,0.0015232563018798828,13,3,"['Turn(HallLight,On)', 'Make(Water)', 'Make(Coffee)']",131
