Goal,Optimal_Actions,LLM_Optimal_Actions,Vital_Action_Predicates,Vital_Objects,Time_Limit_Exceeded,Error,Tree_Expanded_Number,Traversed_Number,Exploration_Number,Planning_Time_Total,Current_Cost,Action_Number,Recorded_Action_List,Tick_Time
Closed_Curtain & Holding_MilkDrink & On_Softdrink_Table2,"['MoveTo_Softdrink', 'Turn_Curtain_Off', 'PickUp_Softdrink', 'MoveTo_Table2', 'PutDown_Softdrink_Table2', 'PutDown_Anything_Anywhere', 'MoveTo_MilkDrink', 'PickUp_MilkDrink']","['Turn_Curtain_Closed', 'PickUp_MilkDrink', 'MoveTo_Softdrink', 'PickUp_Softdrink', 'MoveTo_Table2', 'PutDown_Softdrink_Table2']","['MoveTo', 'Turn', 'PickUp', 'PutDown']","['Softdrink', 'Curtain', 'Off', 'Table2', 'Anything', 'Anywhere', 'MilkDrink']",False,False,27,35,27,0.003919124603271484,80,8,"['MoveTo(Softdrink)', 'PickUp(Softdrink)', 'MoveTo(Table2)', 'PutDown(Softdrink,Table2)', 'MoveTo(MilkDrink)', 'PutDown(Anything,Anywhere)', 'Turn(Curtain,Off)', 'PickUp(MilkDrink)']",242
Exists_Dessert & Active_AC & Low_ACTemperature,"['Turn_AC_On', 'Make_Dessert', 'Turn_ACTemperature_Down']","['Make_Dessert', 'Turn_AC_On', 'Turn_ACTemperature_Down']","['Turn', 'Make']","['AC', 'On', 'Dessert', 'ACTemperature', 'Down']",False,False,10,21,10,0.001127481460571289,11,3,"['Make(Dessert)', 'Turn(AC,On)', 'Turn(ACTemperature,Down)']",119
RobotNear_BrightTable5 & IsClean_Floor & On_NFCJuice_Bar,"['MoveTo_NFCJuice', 'Clean_Floor', 'PickUp_NFCJuice', 'MoveTo_Bar', 'PutDown_NFCJuice_Bar', 'MoveTo_BrightTable5']","['MoveTo_Robot_BrightTable5', 'MoveTo_NFCJuice', 'PickUp_NFCJuice', 'MoveTo_Bar', 'PutDown_NFCJuice_Bar']","['MoveTo', 'Clean', 'PickUp', 'PutDown']","['NFCJuice', 'Floor', 'Bar', 'BrightTable5']",False,False,18,28,18,0.002428770065307617,77,6,"['Clean(Floor)', 'MoveTo(NFCJuice)', 'PickUp(NFCJuice)', 'MoveTo(Bar)', 'PutDown(NFCJuice,Bar)', 'MoveTo(BrightTable5)']",221
Exists_Water & IsClean_Floor & Active_HallLight,"['Turn_HallLight_On', 'Clean_Floor', 'Make_Water']","['Make_Water', 'Clean_Floor', 'Turn_HallLight_On']","['Turn', 'Clean', 'Make']","['HallLight', 'On', 'Floor', 'Water']",False,False,6,14,6,0.00067138671875,18,3,"['Clean(Floor)', 'Make(Water)', 'Turn(HallLight,On)']",68
Exists_Dessert & Exists_Water,"['Make_Water', 'Make_Dessert']","['Make_Dessert', 'Make_Water']",['Make'],"['Water', 'Dessert']",False,False,4,7,4,0.00041413307189941406,10,2,"['Make(Water)', 'Make(Dessert)']",36
Holding_ADMilk & IsClean_Floor,"['MoveTo_ADMilk', 'Clean_Floor', 'PickUp_ADMilk']","['MoveTo_ADMilk', 'PickUp_ADMilk', 'Clean_Floor']","['MoveTo', 'Clean', 'PickUp']","['ADMilk', 'Floor']",False,False,6,10,6,0.0006918907165527344,27,3,"['Clean(Floor)', 'MoveTo(ADMilk)', 'PickUp(ADMilk)']",78
Exists_Coffee & Active_HallLight,"['Make_Coffee', 'Turn_HallLight_On']",['None_'],"['Make', 'Turn']","['Coffee', 'HallLight', 'On']",False,False,4,7,4,0.00039839744567871094,8,2,"['Make(Coffee)', 'Turn(HallLight,On)']",36
IsClean_Table1 & Low_ACTemperature & Low_ACTemperature,"['Clean_Table1', 'Turn_AC_On', 'Turn_ACTemperature_Down']","['Clean_Table1', 'Turn_ACTemperature_Down']","['Clean', 'Turn']","['Table1', 'AC', 'On', 'ACTemperature', 'Down']",False,False,7,14,7,0.0007529258728027344,16,3,"['Clean(Table1)', 'Turn(AC,On)', 'Turn(ACTemperature,Down)']",87
Exists_Coffee & IsClean_Floor,"['Make_Coffee', 'Clean_Floor']","['Make_Coffee', 'Clean_Floor']","['Make', 'Clean']","['Coffee', 'Floor']",False,False,4,7,4,0.0004057884216308594,15,2,"['Clean(Floor)', 'Make(Coffee)']",36
IsClean_Chairs & On_NFCJuice_Bar2 & On_SpringWater_Table3,"['MoveTo_SpringWater', 'PickUp_SpringWater', 'MoveTo_Table3', 'PutDown_SpringWater_Table3', 'MoveTo_NFCJuice', 'PutDown_Anything_Anywhere', 'Clean_Chairs', 'PickUp_NFCJuice', 'MoveTo_Bar2', 'PutDown_NFCJuice_Bar2']","['Clean_Chairs', 'MoveTo_NFCJuice', 'PickUp_NFCJuice', 'MoveTo_Bar2', 'PutDown_NFCJuice_Bar2', 'MoveTo_SpringWater', 'PickUp_SpringWater', 'MoveTo_Table3', 'PutDown_SpringWater_Table3']","['MoveTo', 'PickUp', 'PutDown', 'Clean']","['SpringWater', 'Table3', 'NFCJuice', 'Anything', 'Anywhere', 'Chairs', 'Bar2']",False,False,76,93,76,0.013135910034179688,122,10,"['Clean(Chairs)', 'MoveTo(SpringWater)', 'PickUp(SpringWater)', 'MoveTo(Table3)', 'PutDown(SpringWater,Table3)', 'MoveTo(NFCJuice)', 'PutDown(Anything,Anywhere)', 'PickUp(NFCJuice)', 'MoveTo(Bar2)', 'PutDown(NFCJuice,Bar2)']",1184
Exists_Water & IsClean_Chairs & Closed_Curtain,"['Clean_Chairs', 'Turn_Curtain_Off', 'Make_Water']","['Make_Water', 'Clean_Chairs', 'Turn_Curtain_Off']","['Clean', 'Turn', 'Make']","['Chairs', 'Curtain', 'Off', 'Water']",False,False,6,13,6,0.0006387233734130859,18,3,"['Clean(Chairs)', 'Make(Water)', 'Turn(Curtain,Off)']",50
On_Chips_BrightTable6 & RobotNear_BrightTable6,"['MoveTo_Chips', 'PickUp_Chips', 'MoveTo_BrightTable6', 'PutDown_Chips_BrightTable6']","['MoveTo_Chips', 'PickUp_Chips', 'MoveTo_BrightTable6', 'PutDown_Chips_BrightTable6']","['MoveTo', 'PickUp', 'PutDown']","['Chips', 'BrightTable6']",False,False,9,13,9,0.0011868476867675781,52,4,"['MoveTo(Chips)', 'PickUp(Chips)', 'MoveTo(BrightTable6)', 'PutDown(Chips,BrightTable6)']",82
Exists_Dessert & IsClean_Table1 & IsClean_Table1,"['Make_Dessert', 'Clean_Table1']","['Make_Dessert', 'Clean_Table1']","['Make', 'Clean']","['Dessert', 'Table1']",False,False,4,7,4,0.0004086494445800781,15,2,"['Clean(Table1)', 'Make(Dessert)']",36
IsClean_Chairs & Closed_Curtain,"['Clean_Chairs', 'Turn_Curtain_Off']","['Clean_Chairs', 'Turn_Curtain_Off']","['Clean', 'Turn']","['Chairs', 'Curtain', 'Off']",False,False,4,6,4,0.00036025047302246094,13,2,"['Clean(Chairs)', 'Turn(Curtain,Off)']",22
Low_ACTemperature & Low_ACTemperature & Closed_Curtain,"['Turn_AC_On', 'Turn_Curtain_Off', 'Turn_ACTemperature_Down']","['Turn_ACTemperature_Down', 'Turn_Curtain_Off']",['Turn'],"['AC', 'On', 'Curtain', 'Off', 'ACTemperature', 'Down']",False,False,7,13,7,0.0007231235504150391,9,3,"['Turn(AC,On)', 'Turn(Curtain,Off)', 'Turn(ACTemperature,Down)']",63
Exists_Coffee & Exists_Water & Active_HallLight,"['Turn_HallLight_On', 'Make_Coffee', 'Make_Water']","['Make_Coffee', 'Make_Water', 'Turn_HallLight_On']","['Turn', 'Make']","['HallLight', 'On', 'Coffee', 'Water']",False,False,6,14,6,0.000728607177734375,13,3,"['Make(Water)', 'Make(Coffee)', 'Turn(HallLight,On)']",68
Exists_Coffee & Active_AC,"['Make_Coffee', 'Turn_AC_On']","['MoveTo_CoffeeStation', 'PickUp_Coffee', 'Turn_AC_On']","['Make', 'Turn']","['Coffee', 'AC', 'On']",False,False,4,7,4,0.0004150867462158203,8,2,"['Make(Coffee)', 'Turn(AC,On)']",36
