Goal,Optimal_Actions,LLM_Optimal_Actions,Vital_Action_Predicates,Vital_Objects,Time_Limit_Exceeded,Error,Tree_Expanded_Number,Traversed_Number,Exploration_Number,Planning_Time_Total,Current_Cost,Action_Number,Recorded_Action_List,Tick_Time
Closed_Curtain & Holding_MilkDrink & On_Softdrink_Table2,"['MoveTo_Softdrink', 'Turn_Curtain_Off', 'PickUp_Softdrink', 'MoveTo_Table2', 'PutDown_Softdrink_Table2', 'PutDown_Anything_Anywhere', 'MoveTo_MilkDrink', 'PickUp_MilkDrink']","['Turn_Curtain_Closed', 'PickUp_MilkDrink', 'MoveTo_Softdrink', 'PickUp_Softdrink', 'MoveTo_Table2', 'PutDown_Softdrink_Table2']","['MoveTo', 'Turn', 'PickUp', 'PutDown']","['Softdrink', 'Curtain', 'Off', 'Table2', 'Anything', 'Anywhere', 'MilkDrink']",False,False,74,96,74,0.011611461639404297,80,8,"['Turn(Curtain,Off)', 'MoveTo(Softdrink)', 'PickUp(Softdrink)', 'MoveTo(Table2)', 'PutDown(Softdrink,Table2)', 'MoveTo(MilkDrink)', 'PutDown(Anything,Anywhere)', 'PickUp(MilkDrink)']",1129
Exists_Dessert & Active_AC & Low_ACTemperature,"['Turn_AC_On', 'Make_Dessert', 'Turn_ACTemperature_Down']","['Make_Dessert', 'Turn_AC_On', 'Turn_ACTemperature_Down']","['Turn', 'Make']","['AC', 'On', 'Dessert', 'ACTemperature', 'Down']",False,False,10,21,10,0.0011646747589111328,11,3,"['Make(Dessert)', 'Turn(AC,On)', 'Turn(ACTemperature,Down)']",119
RobotNear_BrightTable5 & IsClean_Floor & On_NFCJuice_Bar,"['MoveTo_NFCJuice', 'Clean_Floor', 'PickUp_NFCJuice', 'MoveTo_Bar', 'PutDown_NFCJuice_Bar', 'MoveTo_BrightTable5']","['MoveTo_Robot_BrightTable5', 'MoveTo_NFCJuice', 'PickUp_NFCJuice', 'MoveTo_Bar', 'PutDown_NFCJuice_Bar']","['MoveTo', 'Clean', 'PickUp', 'PutDown']","['NFCJuice', 'Floor', 'Bar', 'BrightTable5']",False,False,27,38,27,0.003887176513671875,77,6,"['MoveTo(NFCJuice)', 'Clean(Floor)', 'PickUp(NFCJuice)', 'MoveTo(Bar)', 'PutDown(NFCJuice,Bar)', 'MoveTo(BrightTable5)']",219
Exists_Water & IsClean_Floor & Active_HallLight,"['Turn_HallLight_On', 'Clean_Floor', 'Make_Water']","['Make_Water', 'Clean_Floor', 'Turn_HallLight_On']","['Turn', 'Clean', 'Make']","['HallLight', 'On', 'Floor', 'Water']",False,False,6,14,6,0.0006785392761230469,18,3,"['Clean(Floor)', 'Make(Water)', 'Turn(HallLight,On)']",68
Exists_Dessert & Exists_Water,"['Make_Water', 'Make_Dessert']","['Make_Dessert', 'Make_Water']",['Make'],"['Water', 'Dessert']",False,False,4,7,4,0.0004000663757324219,10,2,"['Make(Water)', 'Make(Dessert)']",36
Holding_ADMilk & IsClean_Floor,"['MoveTo_ADMilk', 'Clean_Floor', 'PickUp_ADMilk']","['MoveTo_ADMilk', 'PickUp_ADMilk', 'Clean_Floor']","['MoveTo', 'Clean', 'PickUp']","['ADMilk', 'Floor']",False,False,6,10,6,0.0006761550903320312,27,3,"['Clean(Floor)', 'MoveTo(ADMilk)', 'PickUp(ADMilk)']",78
Exists_Coffee & Active_HallLight,"['Make_Coffee', 'Turn_HallLight_On']",['None_'],"['Make', 'Turn']","['Coffee', 'HallLight', 'On']",False,False,4,7,4,0.00040602684020996094,8,2,"['Make(Coffee)', 'Turn(HallLight,On)']",36
IsClean_Table1 & Low_ACTemperature & Low_ACTemperature,"['Clean_Table1', 'Turn_AC_On', 'Turn_ACTemperature_Down']","['Clean_Table1', 'Turn_ACTemperature_Down']","['Clean', 'Turn']","['Table1', 'AC', 'On', 'ACTemperature', 'Down']",False,False,7,14,7,0.0007777214050292969,16,3,"['Turn(AC,On)', 'Clean(Table1)', 'Turn(ACTemperature,Down)']",84
Exists_Coffee & IsClean_Floor,"['Make_Coffee', 'Clean_Floor']","['Make_Coffee', 'Clean_Floor']","['Make', 'Clean']","['Coffee', 'Floor']",False,False,4,7,4,0.00040411949157714844,15,2,"['Clean(Floor)', 'Make(Coffee)']",36
IsClean_Chairs & On_NFCJuice_Bar2 & On_SpringWater_Table3,"['MoveTo_SpringWater', 'PickUp_SpringWater', 'MoveTo_Table3', 'PutDown_SpringWater_Table3', 'MoveTo_NFCJuice', 'PutDown_Anything_Anywhere', 'Clean_Chairs', 'PickUp_NFCJuice', 'MoveTo_Bar2', 'PutDown_NFCJuice_Bar2']","['Clean_Chairs', 'MoveTo_NFCJuice', 'PickUp_NFCJuice', 'MoveTo_Bar2', 'PutDown_NFCJuice_Bar2', 'MoveTo_SpringWater', 'PickUp_SpringWater', 'MoveTo_Table3', 'PutDown_SpringWater_Table3']","['MoveTo', 'PickUp', 'PutDown', 'Clean']","['SpringWater', 'Table3', 'NFCJuice', 'Anything', 'Anywhere', 'Chairs', 'Bar2']",False,False,94,114,94,0.01590704917907715,122,10,"['MoveTo(NFCJuice)', 'PickUp(NFCJuice)', 'MoveTo(Bar2)', 'PutDown(NFCJuice,Bar2)', 'PutDown(Anything,Anywhere)', 'Clean(Chairs)', 'MoveTo(SpringWater)', 'PickUp(SpringWater)', 'MoveTo(Table3)', 'PutDown(SpringWater,Table3)']",1265
