Goal,Optimal_Actions,LLM_Optimal_Actions,Vital_Action_Predicates,Vital_Objects,Time_Limit_Exceeded,Error,Tree_Expanded_Number,Traversed_Number,Exploration_Number,Planning_Time_Total,Current_Cost,Action_Number,Recorded_Action_List,Tick_Time
Closed_Curtain & Holding_MilkDrink & On_Softdrink_Table2,"['MoveTo_Softdrink', 'Turn_Curtain_Off', 'PickUp_Softdrink', 'MoveTo_Table2', 'PutDown_Softdrink_Table2', 'PutDown_Anything_Anywhere', 'MoveTo_MilkDrink', 'PickUp_MilkDrink']","['Turn_Curtain_Closed', 'PickUp_MilkDrink', 'MoveTo_Softdrink', 'PickUp_Softdrink', 'MoveTo_Table2', 'PutDown_Softdrink_Table2']","['MoveTo', 'Turn', 'PickUp', 'PutDown']","['Softdrink', 'Curtain', 'Off', 'Table2', 'Anything', 'Anywhere', 'MilkDrink']",False,False,41,41,8,0.0018045902252197266,80,8,"['MoveTo(Softdrink)', 'PickUp(Softdrink)', 'MoveTo(Table2)', 'PutDown(Softdrink,Table2)', 'MoveTo(MilkDrink)', 'PutDown(Anything,Anywhere)', 'PickUp(MilkDrink)', 'Turn(Curtain,Off)']",500
Exists_Dessert & Active_AC & Low_ACTemperature,"['Turn_AC_On', 'Make_Dessert', 'Turn_ACTemperature_Down']","['Make_Dessert', 'Turn_AC_On', 'Turn_ACTemperature_Down']","['Turn', 'Make']","['AC', 'On', 'Dessert', 'ACTemperature', 'Down']",False,False,26,26,3,0.0012886524200439453,11,3,"['Make(Dessert)', 'Turn(AC,On)', 'Turn(ACTemperature,Down)']",73
RobotNear_BrightTable5 & IsClean_Floor & On_NFCJuice_Bar,"['MoveTo_NFCJuice', 'Clean_Floor', 'PickUp_NFCJuice', 'MoveTo_Bar', 'PutDown_NFCJuice_Bar', 'MoveTo_BrightTable5']","['MoveTo_Robot_BrightTable5', 'MoveTo_NFCJuice', 'PickUp_NFCJuice', 'MoveTo_Bar', 'PutDown_NFCJuice_Bar']","['MoveTo', 'Clean', 'PickUp', 'PutDown']","['NFCJuice', 'Floor', 'Bar', 'BrightTable5']",False,False,38,38,7,0.0017223358154296875,85,7,"['MoveTo(NFCJuice)', 'PickUp(NFCJuice)', 'MoveTo(Bar)', 'PutDown(NFCJuice,Bar)', 'PutDown(Anything,Anywhere)', 'Clean(Floor)', 'MoveTo(BrightTable5)']",407
Exists_Water & IsClean_Floor & Active_HallLight,"['Turn_HallLight_On', 'Clean_Floor', 'Make_Water']","['Make_Water', 'Clean_Floor', 'Turn_HallLight_On']","['Turn', 'Clean', 'Make']","['HallLight', 'On', 'Floor', 'Water']",False,False,33,33,3,0.0012798309326171875,18,3,"['Clean(Floor)', 'Make(Water)', 'Turn(HallLight,On)']",139
Exists_Dessert & Exists_Water,"['Make_Water', 'Make_Dessert']","['Make_Dessert', 'Make_Water']",['Make'],"['Water', 'Dessert']",False,False,15,15,2,0.0020041465759277344,10,2,"['Make(Water)', 'Make(Dessert)']",56
Holding_ADMilk & IsClean_Floor,"['MoveTo_ADMilk', 'Clean_Floor', 'PickUp_ADMilk']","['MoveTo_ADMilk', 'PickUp_ADMilk', 'Clean_Floor']","['MoveTo', 'Clean', 'PickUp']","['ADMilk', 'Floor']",False,False,20,20,4,0.0012564659118652344,27,3,"['Clean(Floor)', 'MoveTo(ADMilk)', 'PickUp(ADMilk)']",128
Exists_Coffee & Active_HallLight,"['Make_Coffee', 'Turn_HallLight_On']",['None_'],"['Make', 'Turn']","['Coffee', 'HallLight', 'On']",False,False,11,11,2,0.0007395744323730469,8,2,"['Make(Coffee)', 'Turn(HallLight,On)']",47
IsClean_Table1 & Low_ACTemperature & Low_ACTemperature,"['Clean_Table1', 'Turn_AC_On', 'Turn_ACTemperature_Down']","['Clean_Table1', 'Turn_ACTemperature_Down']","['Clean', 'Turn']","['Table1', 'AC', 'On', 'ACTemperature', 'Down']",False,False,18,18,4,0.00122833251953125,16,3,"['Turn(AC,On)', 'Turn(ACTemperature,Down)', 'Clean(Table1)']",94
Exists_Coffee & IsClean_Floor,"['Make_Coffee', 'Clean_Floor']","['Make_Coffee', 'Clean_Floor']","['Make', 'Clean']","['Coffee', 'Floor']",False,False,17,17,2,0.0006983280181884766,15,2,"['Clean(Floor)', 'Make(Coffee)']",65
IsClean_Chairs & On_NFCJuice_Bar2 & On_SpringWater_Table3,"['MoveTo_SpringWater', 'PickUp_SpringWater', 'MoveTo_Table3', 'PutDown_SpringWater_Table3', 'MoveTo_NFCJuice', 'PutDown_Anything_Anywhere', 'Clean_Chairs', 'PickUp_NFCJuice', 'MoveTo_Bar2', 'PutDown_NFCJuice_Bar2']","['Clean_Chairs', 'MoveTo_NFCJuice', 'PickUp_NFCJuice', 'MoveTo_Bar2', 'PutDown_NFCJuice_Bar2', 'MoveTo_SpringWater', 'PickUp_SpringWater', 'MoveTo_Table3', 'PutDown_SpringWater_Table3']","['MoveTo', 'PickUp', 'PutDown', 'Clean']","['SpringWater', 'Table3', 'NFCJuice', 'Anything', 'Anywhere', 'Chairs', 'Bar2']",False,False,60,60,11,0.0032227039337158203,130,11,"['MoveTo(SpringWater)', 'PickUp(SpringWater)', 'MoveTo(Table3)', 'PutDown(SpringWater,Table3)', 'MoveTo(NFCJuice)', 'PutDown(Anything,Anywhere)', 'PickUp(NFCJuice)', 'MoveTo(Bar2)', 'PutDown(NFCJuice,Bar2)', 'PutDown(Anything,Anywhere)', 'Clean(Chairs)']",971
