Goal,Optimal_Actions,LLM_Optimal_Actions,Vital_Action_Predicates,Vital_Objects,Time_Limit_Exceeded,Error,Tree_Expanded_Number,Traversed_Number,Exploration_Number,Planning_Time_Total,Current_Cost,Action_Number,Recorded_Action_List,Tick_Time
IsSwitchedOn_microwave & IsNear_self_chips & IsSwitchedOn_microwave,"['Walk_microwave', 'SwitchOn_microwave', 'Walk_chips']","['Walk_chips', 'RightGrab_chips', 'Walk_microwave', 'SwitchOn_microwave']","['Walk', 'SwitchOn']","['microwave', 'chips']",False,False,80,80,7,0.005853891372680664,38,3,"['Walk(microwave)', 'SwitchOn(microwave)', 'Walk(chips)']",182
IsSwitchedOn_computer & IsOn_waterglass_cabinet,"['Walk_waterglass', 'RightGrab_waterglass', 'Walk_computer', 'SwitchOn_computer', 'Walk_cabinet', 'RightPut_waterglass_cabinet']","['Walk_computer', 'SwitchOn_computer', 'Walk_cabinet', 'RightGrab_waterglass', 'RightPut_waterglass_cabinet']","['Walk', 'RightGrab', 'SwitchOn', 'RightPut']","['waterglass', 'computer', 'cabinet']",True,True,1245,1245,233,1.0128004550933838,0,0,[],4197
IsOn_plate_nightstand & IsSwitchedOn_computer & IsNear_self_cutleryknife,"['Walk_plate', 'RightGrab_plate', 'Walk_computer', 'SwitchOn_computer', 'Walk_nightstand', 'RightPut_plate_nightstand', 'Walk_cutleryknife']","['Walk_cutleryknife', 'RightGrab_cutleryknife', 'Walk_nightstand', 'RightPut_cutleryknife_plate', 'Walk_computer', 'SwitchOn_computer']","['Walk', 'RightGrab', 'SwitchOn', 'RightPut']","['plate', 'computer', 'nightstand', 'cutleryknife']",True,True,1720,1720,158,1.0335967540740967,0,0,[],5472
IsOn_juice_kitchentable & IsNear_self_sofa & IsOn_bananas_plate,"['Walk_bananas', 'LeftGrab_bananas', 'Walk_juice', 'RightGrab_juice', 'Walk_kitchentable', 'RightPut_juice_kitchentable', 'Walk_plate', 'LeftPut_bananas_plate', 'Walk_sofa']","['Walk_juice', 'RightGrab_juice', 'Walk_kitchentable', 'RightPut_juice_kitchentable', 'Walk_sofa', 'RightGrab_bananas', 'Walk_plate', 'LeftPut_bananas_plate']","['Walk', 'LeftGrab', 'RightGrab', 'RightPut', 'LeftPut']","['bananas', 'juice', 'kitchentable', 'plate', 'sofa']",True,True,5772,5772,674,1.0247156620025635,0,0,[],18660
IsSwitchedOn_coffeemaker & IsOpen_stove,"['Walk_stove', 'Open_stove', 'Walk_coffeemaker', 'SwitchOn_coffeemaker']","['Walk_coffeemaker', 'SwitchOn_coffeemaker', 'Walk_stove', 'Open_stove']","['Walk', 'Open', 'SwitchOn']","['stove', 'coffeemaker']",True,True,4751,4751,489,1.0297966003417969,0,0,[],15227
IsSwitchedOn_computer & IsNear_self_chips & IsSwitchedOn_lightswitch,"['Walk_computer', 'SwitchOn_computer', 'Walk_lightswitch', 'SwitchOn_lightswitch', 'Walk_chips']","['Walk_computer', 'SwitchOn_computer', 'Walk_chips', 'RightGrab_chips']","['Walk', 'SwitchOn']","['computer', 'lightswitch', 'chips']",False,False,1137,1137,35,0.2828378677368164,61,5,"['Walk(lightswitch)', 'SwitchOn(lightswitch)', 'Walk(computer)', 'SwitchOn(computer)', 'Walk(chips)']",1999
IsSwitchedOn_tablelamp & IsOpen_dishwasher,"['Walk_dishwasher', 'Open_dishwasher', 'Walk_tablelamp', 'SwitchOn_tablelamp']","['Walk_tablelamp', 'SwitchOn_tablelamp', 'Walk_dishwasher', 'Open_dishwasher']","['Walk', 'Open', 'SwitchOn']","['dishwasher', 'tablelamp']",False,False,1060,1060,62,0.3352985382080078,41,4,"['Walk(tablelamp)', 'SwitchOn(tablelamp)', 'Walk(dishwasher)', 'Open(dishwasher)']",2823
IsOn_milk_plate & IsNear_self_Bench,"['Walk_milk', 'LeftGrab_milk', 'Walk_plate', 'LeftPut_milk_plate', 'Walk_Bench']","['Walk_milk', 'RightGrab_milk', 'Walk_plate', 'RightPut_milk_plate']","['Walk', 'LeftGrab', 'LeftPut']","['milk', 'plate', 'Bench']",False,False,260,260,102,0.14937615394592285,56,5,"['Walk(milk)', 'RightGrab(milk)', 'Walk(plate)', 'RightPut(milk,plate)', 'Walk(Bench)']",1190
IsSwitchedOn_lightswitch & IsOn_juice_stove,"['Walk_lightswitch', 'SwitchOn_lightswitch', 'Walk_juice', 'LeftGrab_juice', 'Walk_stove', 'LeftPut_juice_stove']","['Walk_lightswitch', 'SwitchOn_lightswitch', 'Walk_juice', 'RightGrab_juice', 'Walk_stove', 'RightPut_juice_stove']","['Walk', 'SwitchOn', 'LeftGrab', 'LeftPut']","['lightswitch', 'juice', 'stove']",True,True,1245,1245,233,1.005882740020752,0,0,[],4197
IsNear_self_book & IsIn_chips_dishwasher & IsClose_dishwasher,"['Walk_chips', 'RightGrab_chips', 'Walk_dishwasher', 'Open_dishwasher', 'RightPutIn_chips_dishwasher', 'Close_dishwasher', 'Walk_book']","['Walk_dishwasher', 'Close_dishwasher', 'Walk_book', 'RightGrab_book', 'RightPut_book_dishwasher', 'Walk_chips', 'RightGrab_chips', 'RightPutIn_chips_dishwasher']","['Walk', 'RightGrab', 'Open', 'RightPutIn', 'Close']","['chips', 'dishwasher', 'book']",True,True,5539,5539,404,1.0095500946044922,0,0,[],17421
