Goal,Optimal_Actions,LLM_Optimal_Actions,Vital_Action_Predicates,Vital_Objects,Time_Limit_Exceeded,Error,Tree_Expanded_Number,Traversed_Number,Exploration_Number,Planning_Time_Total,Current_Cost,Action_Number,Recorded_Action_List,Tick_Time
IsOpen_fridge,"['Walk_fridge', 'Open_fridge']","['Walk_fridge', 'Open_fridge']","['Walk', 'Open']",['fridge'],False,False,18,18,2,0.0007252693176269531,18,2,"['Walk(fridge)', 'Open(fridge)']",35
IsOn_rag_kitchentable,"['Walk_rag', 'LeftGrab_rag', 'Walk_kitchentable', 'LeftPut_rag_kitchentable']","['Walk_rag', 'RightGrab_rag', 'Walk_kitchentable', 'RightPut_rag_kitchentable']","['Walk', 'LeftGrab', 'LeftPut']","['rag', 'kitchentable']",False,False,110,110,41,0.016623735427856445,41,4,"['Walk(rag)', 'RightGrab(rag)', 'Walk(kitchentable)', 'RightPut(rag,kitchentable)']",479
IsCut_cutlets,"['Walk_kitchenknife', 'RightGrab_kitchenknife', 'Walk_cutlets', 'LeftGrab_cutlets', 'Cut_cutlets']","['Walk_kitchenknife', 'RightGrab_kitchenknife', 'Walk_cutlets', 'LeftGrab_cutlets', 'Cut_cutlets']","['Walk', 'RightGrab', 'LeftGrab', 'Cut']","['kitchenknife', 'cutlets']",False,False,546,546,50,0.27463769912719727,57,5,"['Walk(cutlets)', 'LeftGrab(cutlets)', 'Walk(kitchenknife)', 'RightGrab(kitchenknife)', 'Cut(cutlets)']",2921
IsClean_fridge,"['Walk_rag', 'LeftGrab_rag', 'Walk_fridge', 'Wipe_fridge']","['Walk_rag', 'RightGrab_rag', 'Walk_fridge', 'Wipe_fridge']","['Walk', 'LeftGrab', 'Wipe']","['rag', 'fridge']",False,False,78,78,32,0.017465591430664062,44,4,"['Walk(rag)', 'RightGrab(rag)', 'Walk(fridge)', 'Wipe(fridge)']",293
IsClean_fridge,"['Walk_rag', 'LeftGrab_rag', 'Walk_fridge', 'Wipe_fridge']","['Walk_rag', 'RightGrab_rag', 'Walk_fridge', 'Wipe_fridge']","['Walk', 'LeftGrab', 'Wipe']","['rag', 'fridge']",False,False,78,78,32,0.017099380493164062,44,4,"['Walk(rag)', 'RightGrab(rag)', 'Walk(fridge)', 'Wipe(fridge)']",293
IsNear_self_microwave,['Walk_microwave'],['Walk_microwave'],['Walk'],['microwave'],False,False,21,21,1,0.00020503997802734375,15,1,['Walk(microwave)'],68
IsOn_apple_kitchencabinet,"['Walk_apple', 'LeftGrab_apple', 'Walk_kitchencabinet', 'LeftPut_apple_kitchencabinet']","['Walk_apple', 'RightGrab_apple', 'Walk_kitchencabinet', 'RightPut_apple_kitchencabinet']","['Walk', 'LeftGrab', 'LeftPut']","['apple', 'kitchencabinet']",False,False,152,152,78,0.052268028259277344,41,4,"['Walk(apple)', 'RightGrab(apple)', 'Walk(kitchencabinet)', 'RightPut(apple,kitchencabinet)']",397
IsOpen_microwave,"['Walk_microwave', 'Open_microwave']","['Walk_microwave', 'Open_microwave']","['Walk', 'Open']",['microwave'],False,False,19,19,2,0.0007650852203369141,18,2,"['Walk(microwave)', 'Open(microwave)']",38
IsOn_rag_bed,"['Walk_rag', 'LeftGrab_rag', 'Walk_bed', 'LeftPut_rag_bed']","['Walk_rag', 'RightGrab_rag', 'Walk_bed', 'RightPut_rag_bed']","['Walk', 'LeftGrab', 'LeftPut']","['rag', 'bed']",False,False,110,110,41,0.016789674758911133,41,4,"['Walk(rag)', 'RightGrab(rag)', 'Walk(bed)', 'RightPut(rag,bed)']",479
IsPlugged_fridge,"['Walk_fridge', 'PlugIn_fridge']","['Walk_fridge', 'PlugIn_fridge']","['Walk', 'PlugIn']",['fridge'],False,False,18,18,2,0.0007581710815429688,23,2,"['Walk(fridge)', 'PlugIn(fridge)']",35
IsOpen_fridge,"['Walk_fridge', 'Open_fridge']","['Walk_fridge', 'Open_fridge']","['Walk', 'Open']",['fridge'],False,False,18,18,2,0.0007092952728271484,18,2,"['Walk(fridge)', 'Open(fridge)']",35
IsCut_cutlets,"['Walk_kitchenknife', 'RightGrab_kitchenknife', 'Walk_cutlets', 'LeftGrab_cutlets', 'Cut_cutlets']","['Walk_kitchenknife', 'RightGrab_kitchenknife', 'Walk_cutlets', 'LeftGrab_cutlets', 'Cut_cutlets']","['Walk', 'RightGrab', 'LeftGrab', 'Cut']","['kitchenknife', 'cutlets']",False,False,546,546,50,0.31562018394470215,57,5,"['Walk(cutlets)', 'LeftGrab(cutlets)', 'Walk(kitchenknife)', 'RightGrab(kitchenknife)', 'Cut(cutlets)']",2921
IsNear_self_rag,['Walk_rag'],['Walk_rag'],['Walk'],['rag'],False,False,4,4,1,9.584426879882812e-05,15,1,['Walk(rag)'],17
IsSwitchedOn_candle,"['Walk_candle', 'SwitchOn_candle']","['Walk_candle', 'SwitchOn_candle']","['Walk', 'SwitchOn']",['candle'],False,False,4,4,2,0.0003437995910644531,23,2,"['Walk(candle)', 'SwitchOn(candle)']",29
IsNear_self_microwave,['Walk_microwave'],['Walk_microwave'],['Walk'],['microwave'],False,False,21,21,1,0.0001952648162841797,15,1,['Walk(microwave)'],68
IsOn_plate_kitchentable,"['Walk_plate', 'LeftGrab_plate', 'Walk_kitchentable', 'LeftPut_plate_kitchentable']","['Walk_plate', 'RightGrab_plate', 'Walk_kitchentable', 'RightPut_plate_kitchentable']","['Walk', 'LeftGrab', 'LeftPut']","['plate', 'kitchentable']",False,False,96,96,41,0.015351295471191406,41,4,"['Walk(plate)', 'RightGrab(plate)', 'Walk(kitchentable)', 'RightPut(plate,kitchentable)']",491
IsNear_self_wine,['Walk_wine'],['Walk_wine'],['Walk'],['wine'],False,False,4,4,1,0.00010037422180175781,15,1,['Walk(wine)'],17
IsClean_bed,"['Walk_rag', 'LeftGrab_rag', 'Walk_bed', 'Wipe_bed']","['Walk_bed', 'RightGrab_rag', 'Wipe_bed']","['Walk', 'LeftGrab', 'Wipe']","['rag', 'bed']",False,False,66,66,24,0.00791621208190918,44,4,"['Walk(rag)', 'RightGrab(rag)', 'Walk(bed)', 'Wipe(bed)']",473
IsOpen_microwave,"['Walk_microwave', 'Open_microwave']","['Walk_microwave', 'Open_microwave']","['Walk', 'Open']",['microwave'],False,False,19,19,2,0.0007688999176025391,18,2,"['Walk(microwave)', 'Open(microwave)']",38
IsClean_kitchenknife,"['Walk_kitchenknife', 'RightGrab_kitchenknife', 'Walk_faucet', 'SwitchOn_faucet', 'Wash_kitchenknife']","['Walk_kitchenknife', 'RightGrab_kitchenknife', 'Walk_faucet', 'SwitchOn_faucet', 'Wash_kitchenknife']","['Walk', 'RightGrab', 'SwitchOn', 'Wash']","['kitchenknife', 'faucet']",False,False,185,185,25,0.02998185157775879,52,5,"['Walk(kitchenknife)', 'RightGrab(kitchenknife)', 'Walk(faucet)', 'SwitchOn(faucet)', 'Wash(kitchenknife)']",706
IsIn_plate_garbagecan,"['Walk_plate', 'LeftGrab_plate', 'Walk_garbagecan', 'LeftPutIn_plate_garbagecan']","['Walk_plate', 'RightGrab_plate', 'Walk_garbagecan', 'RightPutIn_plate_garbagecan']","['Walk', 'LeftGrab', 'LeftPutIn']","['plate', 'garbagecan']",False,False,96,96,41,0.0157320499420166,45,4,"['Walk(plate)', 'RightGrab(plate)', 'Walk(garbagecan)', 'RightPutIn(plate,garbagecan)']",491
IsNear_self_microwave,['Walk_microwave'],['Walk_microwave'],['Walk'],['microwave'],False,False,21,21,1,0.00019884109497070312,15,1,['Walk(microwave)'],68
IsIn_plate_fridge,"['Walk_plate', 'RightGrab_plate', 'Walk_fridge', 'PlugIn_fridge', 'Open_fridge', 'RightPutIn_plate_fridge']","['Walk_plate', 'RightGrab_plate', 'Walk_fridge', 'Open_fridge', 'PutIn_plate_fridge']","['Walk', 'RightGrab', 'PlugIn', 'Open', 'RightPutIn']","['plate', 'fridge']",False,False,1383,1383,199,0.7893397808074951,56,6,"['Walk(plate)', 'RightGrab(plate)', 'Walk(fridge)', 'PlugIn(fridge)', 'Open(fridge)', 'RightPutIn(plate,fridge)']",640
IsClean_tv,"['Walk_rag', 'LeftGrab_rag', 'Walk_tv', 'Wipe_tv']","['Walk_rag', 'RightGrab_rag', 'Walk_tv', 'Wipe_tv']","['Walk', 'LeftGrab', 'Wipe']","['rag', 'tv']",False,False,46,46,10,0.004765987396240234,44,4,"['Walk(rag)', 'RightGrab(rag)', 'Walk(tv)', 'Wipe(tv)']",127
