Goal,Optimal_Actions,LLM_Optimal_Actions,Vital_Action_Predicates,Vital_Objects,Time_Limit_Exceeded,Error,Tree_Expanded_Number,Traversed_Number,Exploration_Number,Planning_Time_Total,Current_Cost,Action_Number,Recorded_Action_List,Tick_Time
IsOpen_fridge,"['Walk_fridge', 'Open_fridge']","['Walk_fridge', 'Open_fridge']","['Walk', 'Open']",['fridge'],False,False,3,3,3,0.0005807876586914062,18,2,"['Walk(fridge)', 'Open(fridge)']",32
IsOn_rag_kitchentable,"['Walk_rag', 'LeftGrab_rag', 'Walk_kitchentable', 'LeftPut_rag_kitchentable']","['Walk_rag', 'RightGrab_rag', 'Walk_kitchentable', 'RightPut_rag_kitchentable']","['Walk', 'LeftGrab', 'LeftPut']","['rag', 'kitchentable']",False,False,8,9,8,0.0013337135314941406,41,4,"['Walk(rag)', 'RightGrab(rag)', 'Walk(kitchentable)', 'RightPut(rag,kitchentable)']",89
IsCut_cutlets,"['Walk_kitchenknife', 'RightGrab_kitchenknife', 'Walk_cutlets', 'LeftGrab_cutlets', 'Cut_cutlets']","['Walk_kitchenknife', 'RightGrab_kitchenknife', 'Walk_cutlets', 'LeftGrab_cutlets', 'Cut_cutlets']","['Walk', 'RightGrab', 'LeftGrab', 'Cut']","['kitchenknife', 'cutlets']",False,True,1,1,1,9.465217590332031e-05,0,0,[],3
IsClean_fridge,"['Walk_rag', 'LeftGrab_rag', 'Walk_fridge', 'Wipe_fridge']","['Walk_rag', 'RightGrab_rag', 'Walk_fridge', 'Wipe_fridge']","['Walk', 'LeftGrab', 'Wipe']","['rag', 'fridge']",False,False,6,7,6,0.0010535717010498047,44,4,"['Walk(rag)', 'RightGrab(rag)', 'Walk(fridge)', 'Wipe(fridge)']",72
IsClean_fridge,"['Walk_rag', 'LeftGrab_rag', 'Walk_fridge', 'Wipe_fridge']","['Walk_rag', 'RightGrab_rag', 'Walk_fridge', 'Wipe_fridge']","['Walk', 'LeftGrab', 'Wipe']","['rag', 'fridge']",False,False,6,7,6,0.0010442733764648438,44,4,"['Walk(rag)', 'RightGrab(rag)', 'Walk(fridge)', 'Wipe(fridge)']",72
IsNear_self_microwave,['Walk_microwave'],['Walk_microwave'],['Walk'],['microwave'],False,False,2,2,2,0.0002434253692626953,15,1,['Walk(microwave)'],11
IsOn_apple_kitchencabinet,"['Walk_apple', 'LeftGrab_apple', 'Walk_kitchencabinet', 'LeftPut_apple_kitchencabinet']","['Walk_apple', 'RightGrab_apple', 'Walk_kitchencabinet', 'RightPut_apple_kitchencabinet']","['Walk', 'LeftGrab', 'LeftPut']","['apple', 'kitchencabinet']",False,False,8,9,8,0.0012307167053222656,41,4,"['Walk(apple)', 'RightGrab(apple)', 'Walk(kitchencabinet)', 'RightPut(apple,kitchencabinet)']",89
IsOpen_microwave,"['Walk_microwave', 'Open_microwave']","['Walk_microwave', 'Open_microwave']","['Walk', 'Open']",['microwave'],False,False,4,5,4,0.001047372817993164,18,2,"['Walk(microwave)', 'Open(microwave)']",37
IsOn_rag_bed,"['Walk_rag', 'LeftGrab_rag', 'Walk_bed', 'LeftPut_rag_bed']","['Walk_rag', 'RightGrab_rag', 'Walk_bed', 'RightPut_rag_bed']","['Walk', 'LeftGrab', 'LeftPut']","['rag', 'bed']",False,False,8,9,8,0.0013492107391357422,41,4,"['Walk(rag)', 'RightGrab(rag)', 'Walk(bed)', 'RightPut(rag,bed)']",89
IsPlugged_fridge,"['Walk_fridge', 'PlugIn_fridge']","['Walk_fridge', 'PlugIn_fridge']","['Walk', 'PlugIn']",['fridge'],False,False,3,3,3,0.0005829334259033203,23,2,"['Walk(fridge)', 'PlugIn(fridge)']",32
IsOpen_fridge,"['Walk_fridge', 'Open_fridge']","['Walk_fridge', 'Open_fridge']","['Walk', 'Open']",['fridge'],False,False,3,3,3,0.0005660057067871094,18,2,"['Walk(fridge)', 'Open(fridge)']",32
IsCut_cutlets,"['Walk_kitchenknife', 'RightGrab_kitchenknife', 'Walk_cutlets', 'LeftGrab_cutlets', 'Cut_cutlets']","['Walk_kitchenknife', 'RightGrab_kitchenknife', 'Walk_cutlets', 'LeftGrab_cutlets', 'Cut_cutlets']","['Walk', 'RightGrab', 'LeftGrab', 'Cut']","['kitchenknife', 'cutlets']",False,True,1,1,1,9.393692016601562e-05,0,0,[],3
IsNear_self_rag,['Walk_rag'],['Walk_rag'],['Walk'],['rag'],False,False,2,2,2,0.00015592575073242188,15,1,['Walk(rag)'],11
IsSwitchedOn_candle,"['Walk_candle', 'SwitchOn_candle']","['Walk_candle', 'SwitchOn_candle']","['Walk', 'SwitchOn']",['candle'],False,False,3,3,3,0.0004756450653076172,23,2,"['Walk(candle)', 'SwitchOn(candle)']",32
IsNear_self_microwave,['Walk_microwave'],['Walk_microwave'],['Walk'],['microwave'],False,False,2,2,2,0.00024771690368652344,15,1,['Walk(microwave)'],11
IsOn_plate_kitchentable,"['Walk_plate', 'LeftGrab_plate', 'Walk_kitchentable', 'LeftPut_plate_kitchentable']","['Walk_plate', 'RightGrab_plate', 'Walk_kitchentable', 'RightPut_plate_kitchentable']","['Walk', 'LeftGrab', 'LeftPut']","['plate', 'kitchentable']",False,False,8,9,8,0.0012423992156982422,41,4,"['Walk(plate)', 'RightGrab(plate)', 'Walk(kitchentable)', 'RightPut(plate,kitchentable)']",89
IsNear_self_wine,['Walk_wine'],['Walk_wine'],['Walk'],['wine'],False,False,2,2,2,0.0001633167266845703,15,1,['Walk(wine)'],11
IsClean_bed,"['Walk_rag', 'LeftGrab_rag', 'Walk_bed', 'Wipe_bed']","['Walk_bed', 'RightGrab_rag', 'Wipe_bed']","['Walk', 'LeftGrab', 'Wipe']","['rag', 'bed']",False,False,6,7,6,0.001039743423461914,44,4,"['Walk(rag)', 'RightGrab(rag)', 'Walk(bed)', 'Wipe(bed)']",72
IsOpen_microwave,"['Walk_microwave', 'Open_microwave']","['Walk_microwave', 'Open_microwave']","['Walk', 'Open']",['microwave'],False,False,4,5,4,0.0010433197021484375,18,2,"['Walk(microwave)', 'Open(microwave)']",37
