Goal,Optimal_Actions,LLM_Optimal_Actions,Vital_Action_Predicates,Vital_Objects,Time_Limit_Exceeded,Error,Tree_Expanded_Number,Traversed_Number,Exploration_Number,Planning_Time_Total,Current_Cost,Action_Number,Recorded_Action_List,Tick_Time
Low_ACTemperature,"['Turn_AC_On', 'Turn_ACTemperature_Down']",['Turn_ACTemperature_Down'],['Turn'],"['AC', 'On', 'ACTemperature', 'Down']",False,False,3,3,2,0.0001327991485595703,6,2,"['Turn(AC,On)', 'Turn(ACTemperature,Down)']",26
RobotNear_BrightTable2,['MoveTo_BrightTable2'],['MoveTo_BrightTable2'],['MoveTo'],['BrightTable2'],False,False,2,2,1,4.7206878662109375e-05,15,1,['MoveTo(BrightTable2)'],11
Low_ACTemperature,"['Turn_AC_On', 'Turn_ACTemperature_Down']",['Turn_ACTemperature_Down'],['Turn'],"['AC', 'On', 'ACTemperature', 'Down']",False,False,3,3,2,0.0001289844512939453,6,2,"['Turn(AC,On)', 'Turn(ACTemperature,Down)']",26
Exists_Water,['Make_Water'],['Make_Water'],['Make'],['Water'],False,False,2,2,1,5.125999450683594e-05,5,1,['Make(Water)'],11
Holding_Yogurt,"['MoveTo_Yogurt', 'PickUp_Yogurt']","['MoveTo_Yogurt', 'PickUp_Yogurt']","['MoveTo', 'PickUp']",['Yogurt'],False,False,18,18,2,0.0002002716064453125,17,2,"['MoveTo(Yogurt)', 'PickUp(Yogurt)']",71
Active_HallLight,['Turn_HallLight_On'],['Turn_HallLight_On'],['Turn'],"['HallLight', 'On']",False,False,2,2,1,4.1961669921875e-05,3,1,"['Turn(HallLight,On)']",11
Holding_Yogurt,"['MoveTo_Yogurt', 'PickUp_Yogurt']","['MoveTo_Yogurt', 'PickUp_Yogurt']","['MoveTo', 'PickUp']",['Yogurt'],False,False,18,18,2,0.00019741058349609375,17,2,"['MoveTo(Yogurt)', 'PickUp(Yogurt)']",71
Active_HallLight,['Turn_HallLight_On'],['Turn_HallLight_On'],['Turn'],"['HallLight', 'On']",False,False,2,2,1,4.2438507080078125e-05,3,1,"['Turn(HallLight,On)']",11
Exists_Dessert,['Make_Dessert'],['Make_Dessert'],['Make'],['Dessert'],False,False,2,2,1,4.220008850097656e-05,5,1,['Make(Dessert)'],11
IsClean_Floor,['Clean_Floor'],['Turn_Curtain_Off'],['Clean'],['Floor'],False,False,2,2,1,4.38690185546875e-05,10,1,['Clean(Floor)'],11
Closed_Curtain,['Turn_Curtain_Off'],['Make_Dessert'],['Turn'],"['Curtain', 'Off']",False,False,2,2,1,3.981590270996094e-05,3,1,"['Turn(Curtain,Off)']",11
Exists_Dessert,['Make_Dessert'],"['MoveTo_MilkDrink', 'PickUp_MilkDrink', 'MoveTo_CoffeeStation', 'PutDown_MilkDrink_CoffeeStation']",['Make'],['Dessert'],False,False,2,2,1,4.7206878662109375e-05,5,1,['Make(Dessert)'],11
On_MilkDrink_CoffeeStation,"['MoveTo_MilkDrink', 'PickUp_MilkDrink', 'MoveTo_CoffeeStation', 'PutDown_MilkDrink_CoffeeStation']",['Turn_ACTemperature_Down'],"['MoveTo', 'PickUp', 'PutDown']","['MilkDrink', 'CoffeeStation']",False,False,78,78,35,0.031202077865600586,52,4,"['MoveTo(MilkDrink)', 'PickUp(MilkDrink)', 'MoveTo(CoffeeStation)', 'PutDown(MilkDrink,CoffeeStation)']",629
Low_ACTemperature,"['Turn_AC_On', 'Turn_ACTemperature_Down']",['Make_Water'],['Turn'],"['AC', 'On', 'ACTemperature', 'Down']",False,False,3,3,2,0.0001437664031982422,6,2,"['Turn(AC,On)', 'Turn(ACTemperature,Down)']",26
Exists_Water,['Make_Water'],['Clean_Chairs'],['Make'],['Water'],False,False,2,2,1,5.245208740234375e-05,5,1,['Make(Water)'],11
IsClean_Chairs,['Clean_Chairs'],['Turn_Curtain_Off'],['Clean'],['Chairs'],False,False,2,2,1,5.1975250244140625e-05,10,1,['Clean(Chairs)'],11
Closed_Curtain,['Turn_Curtain_Off'],['Turn_Curtain_Off'],['Turn'],"['Curtain', 'Off']",False,False,2,2,1,4.0531158447265625e-05,3,1,"['Turn(Curtain,Off)']",11
Closed_Curtain,['Turn_Curtain_Off'],['Make_Coffee'],['Turn'],"['Curtain', 'Off']",False,False,2,2,1,3.933906555175781e-05,3,1,"['Turn(Curtain,Off)']",11
Exists_Coffee,['Make_Coffee'],['Clean_Chairs'],['Make'],['Coffee'],False,False,2,2,1,4.8160552978515625e-05,5,1,['Make(Coffee)'],11
IsClean_Chairs,['Clean_Chairs'],['Turn_TubeLight_On'],['Clean'],['Chairs'],False,False,2,2,1,4.673004150390625e-05,10,1,['Clean(Chairs)'],11
Active_TubeLight,['Turn_TubeLight_On'],['Turn_HallLight_On'],['Turn'],"['TubeLight', 'On']",False,False,2,2,1,4.315376281738281e-05,3,1,"['Turn(TubeLight,On)']",11
Active_HallLight,['Turn_HallLight_On'],['Turn_Curtain_Off'],['Turn'],"['HallLight', 'On']",False,False,2,2,1,4.363059997558594e-05,3,1,"['Turn(HallLight,On)']",11
