Goal,Optimal_Actions,LLM_Optimal_Actions,Vital_Action_Predicates,Vital_Objects,Time_Limit_Exceeded,Error,Tree_Expanded_Number,Traversed_Number,Exploration_Number,Planning_Time_Total,Current_Cost,Action_Number,Recorded_Action_List,Tick_Time
Low_ACTemperature,"['Turn_AC_On', 'Turn_ACTemperature_Down']",['Turn_ACTemperature_Down'],['Turn'],"['AC', 'On', 'ACTemperature', 'Down']",False,False,3,4,3,0.0004680156707763672,6,2,"['Turn(AC,On)', 'Turn(ACTemperature,Down)']",29
RobotNear_BrightTable2,['MoveTo_BrightTable2'],['MoveTo_BrightTable2'],['MoveTo'],['BrightTable2'],False,False,2,2,2,0.0002493858337402344,15,1,['MoveTo(BrightTable2)'],11
Low_ACTemperature,"['Turn_AC_On', 'Turn_ACTemperature_Down']",['Turn_ACTemperature_Down'],['Turn'],"['AC', 'On', 'ACTemperature', 'Down']",False,False,3,4,3,0.00044274330139160156,6,2,"['Turn(AC,On)', 'Turn(ACTemperature,Down)']",29
Exists_Water,['Make_Water'],['Make_Water'],['Make'],['Water'],False,False,2,2,2,0.0002307891845703125,5,1,['Make(Water)'],11
Holding_Yogurt,"['MoveTo_Yogurt', 'PickUp_Yogurt']","['MoveTo_Yogurt', 'PickUp_Yogurt']","['MoveTo', 'PickUp']",['Yogurt'],False,False,4,5,4,0.0004868507385253906,17,2,"['MoveTo(Yogurt)', 'PickUp(Yogurt)']",27
Active_HallLight,['Turn_HallLight_On'],['Turn_HallLight_On'],['Turn'],"['HallLight', 'On']",False,False,2,2,2,0.0001404285430908203,3,1,"['Turn(HallLight,On)']",11
Holding_Yogurt,"['MoveTo_Yogurt', 'PickUp_Yogurt']","['MoveTo_Yogurt', 'PickUp_Yogurt']","['MoveTo', 'PickUp']",['Yogurt'],False,False,4,5,4,0.0003895759582519531,17,2,"['MoveTo(Yogurt)', 'PickUp(Yogurt)']",27
Active_HallLight,['Turn_HallLight_On'],['Turn_HallLight_On'],['Turn'],"['HallLight', 'On']",False,False,2,2,2,0.0001430511474609375,3,1,"['Turn(HallLight,On)']",11
Exists_Dessert,['Make_Dessert'],['Make_Dessert'],['Make'],['Dessert'],False,False,2,2,2,0.0001442432403564453,5,1,['Make(Dessert)'],11
IsClean_Floor,['Clean_Floor'],['Turn_Curtain_Off'],['Clean'],['Floor'],False,False,2,2,2,0.00016570091247558594,10,1,['Clean(Floor)'],11
Closed_Curtain,['Turn_Curtain_Off'],['Make_Dessert'],['Turn'],"['Curtain', 'Off']",False,False,2,2,2,0.00013518333435058594,3,1,"['Turn(Curtain,Off)']",11
Exists_Dessert,['Make_Dessert'],"['MoveTo_MilkDrink', 'PickUp_MilkDrink', 'MoveTo_CoffeeStation', 'PutDown_MilkDrink_CoffeeStation']",['Make'],['Dessert'],False,False,2,2,2,0.00019502639770507812,5,1,['Make(Dessert)'],11
On_MilkDrink_CoffeeStation,"['MoveTo_MilkDrink', 'PickUp_MilkDrink', 'MoveTo_CoffeeStation', 'PutDown_MilkDrink_CoffeeStation']",['Turn_ACTemperature_Down'],"['MoveTo', 'PickUp', 'PutDown']","['MilkDrink', 'CoffeeStation']",False,False,6,7,6,0.0005784034729003906,52,4,"['MoveTo(MilkDrink)', 'PickUp(MilkDrink)', 'MoveTo(CoffeeStation)', 'PutDown(MilkDrink,CoffeeStation)']",59
Low_ACTemperature,"['Turn_AC_On', 'Turn_ACTemperature_Down']",['Make_Water'],['Turn'],"['AC', 'On', 'ACTemperature', 'Down']",False,False,3,4,3,0.00026988983154296875,6,2,"['Turn(AC,On)', 'Turn(ACTemperature,Down)']",29
