Goal,Optimal_Actions,LLM_Optimal_Actions,Vital_Action_Predicates,Vital_Objects,Time_Limit_Exceeded,Error,Tree_Expanded_Number,Traversed_Number,Exploration_Number,Planning_Time_Total,Current_Cost,Action_Number,Recorded_Action_List,Tick_Time
Low_ACTemperature,"['Turn_AC_On', 'Turn_ACTemperature_Down']",['Turn_ACTemperature_Down'],['Turn'],"['AC', 'On', 'ACTemperature', 'Down']",False,False,3,4,3,0.0003018379211425781,6,2,"['Turn(AC,On)', 'Turn(ACTemperature,Down)']",29
RobotNear_BrightTable2,['MoveTo_BrightTable2'],['MoveTo_BrightTable2'],['MoveTo'],['BrightTable2'],False,False,2,2,2,0.0001556873321533203,15,1,['MoveTo(BrightTable2)'],11
Low_ACTemperature,"['Turn_AC_On', 'Turn_ACTemperature_Down']",['Turn_ACTemperature_Down'],['Turn'],"['AC', 'On', 'ACTemperature', 'Down']",False,False,3,4,3,0.0002799034118652344,6,2,"['Turn(AC,On)', 'Turn(ACTemperature,Down)']",29
Exists_Water,['Make_Water'],['Make_Water'],['Make'],['Water'],False,False,2,2,2,0.00014710426330566406,5,1,['Make(Water)'],11
Holding_Yogurt,"['MoveTo_Yogurt', 'PickUp_Yogurt']","['MoveTo_Yogurt', 'PickUp_Yogurt']","['MoveTo', 'PickUp']",['Yogurt'],False,False,3,4,3,0.00030112266540527344,17,2,"['MoveTo(Yogurt)', 'PickUp(Yogurt)']",32
Active_HallLight,['Turn_HallLight_On'],['Turn_HallLight_On'],['Turn'],"['HallLight', 'On']",False,False,2,2,2,0.00014591217041015625,3,1,"['Turn(HallLight,On)']",11
Holding_Yogurt,"['MoveTo_Yogurt', 'PickUp_Yogurt']","['MoveTo_Yogurt', 'PickUp_Yogurt']","['MoveTo', 'PickUp']",['Yogurt'],False,False,3,4,3,0.00030541419982910156,17,2,"['MoveTo(Yogurt)', 'PickUp(Yogurt)']",32
Active_HallLight,['Turn_HallLight_On'],['Turn_HallLight_On'],['Turn'],"['HallLight', 'On']",False,False,2,2,2,0.00014734268188476562,3,1,"['Turn(HallLight,On)']",11
Exists_Dessert,['Make_Dessert'],['Make_Dessert'],['Make'],['Dessert'],False,False,2,2,2,0.00015044212341308594,5,1,['Make(Dessert)'],11
IsClean_Floor,['Clean_Floor'],['Turn_Curtain_Off'],['Clean'],['Floor'],False,False,2,2,2,0.00014519691467285156,10,1,['Clean(Floor)'],11
Closed_Curtain,['Turn_Curtain_Off'],['Make_Dessert'],['Turn'],"['Curtain', 'Off']",False,False,2,2,2,0.00014734268188476562,3,1,"['Turn(Curtain,Off)']",11
