Goal,Optimal_Actions,LLM_Optimal_Actions,Vital_Action_Predicates,Vital_Objects,Time_Limit_Exceeded,Error,Tree_Expanded_Number,Traversed_Number,Exploration_Number,Planning_Time_Total,Current_Cost,Action_Number,Recorded_Action_List,Tick_Time
IsIn_chips_stove,"['Walk_chips', 'RightGrab_chips', 'Walk_stove', 'Open_stove', 'RightPutIn_chips_stove']","['Walk_chips', 'RightGrab_chips', 'Walk_stove', 'RightPut_chips_stove']","['Walk', 'RightGrab', 'Open', 'RightPutIn']","['chips', 'stove']",True,True,4534,4534,559,1.0068132877349854,0,0,[],14716
IsIn_book_cabinet,"['Walk_book', 'RightGrab_book', 'Walk_cabinet', 'Open_cabinet', 'RightPutIn_book_cabinet']","['Walk_book', 'RightGrab_book', 'Walk_cabinet', 'RightPut_book_cabinet']","['Walk', 'RightGrab', 'Open', 'RightPutIn']","['book', 'cabinet']",True,True,4534,4534,561,1.0378265380859375,0,0,[],14720
IsNear_self_tv,['Walk_tv'],['Walk_tv'],['Walk'],['tv'],False,False,4,4,1,0.00021147727966308594,15,1,['Walk(tv)'],17
IsOpen_fridge,"['Walk_fridge', 'Open_fridge']","['Walk_fridge', 'Open_fridge']","['Walk', 'Open']",['fridge'],False,False,35,35,2,0.0017445087432861328,18,2,"['Walk(fridge)', 'Open(fridge)']",26
IsNear_self_milk,['Walk_milk'],['Walk_milk'],['Walk'],['milk'],False,False,4,4,1,0.0001773834228515625,15,1,['Walk(milk)'],17
IsOpen_microwave,"['Walk_microwave', 'Open_microwave']","['Walk_microwave', 'Open_microwave']","['Walk', 'Open']",['microwave'],False,False,37,37,2,0.0019533634185791016,18,2,"['Walk(microwave)', 'Open(microwave)']",32
IsOpen_cabinet,"['Walk_cabinet', 'Open_cabinet']","['Walk_cabinet', 'Open_cabinet']","['Walk', 'Open']",['cabinet'],False,False,67,67,2,0.0019135475158691406,18,2,"['Walk(cabinet)', 'Open(cabinet)']",122
IsOpen_cabinet,"['Walk_cabinet', 'Open_cabinet']","['Walk_cabinet', 'Open_cabinet']","['Walk', 'Open']",['cabinet'],False,False,67,67,2,0.0019507408142089844,18,2,"['Walk(cabinet)', 'Open(cabinet)']",122
IsNear_self_tv,['Walk_tv'],['Walk_tv'],['Walk'],['tv'],False,False,4,4,1,0.00020074844360351562,15,1,['Walk(tv)'],17
IsIn_dishbowl_microwave,"['Walk_dishbowl', 'RightGrab_dishbowl', 'Walk_microwave', 'Open_microwave', 'RightPutIn_dishbowl_microwave']","['Walk_dishbowl', 'RightGrab_dishbowl', 'Walk_microwave', 'Open_microwave', 'RightPutIn_dishbowl_microwave']","['Walk', 'RightGrab', 'Open', 'RightPutIn']","['dishbowl', 'microwave']",False,False,966,966,148,0.21710586547851562,48,5,"['Walk(dishbowl)', 'RightGrab(dishbowl)', 'Walk(microwave)', 'Open(microwave)', 'RightPutIn(dishbowl,microwave)']",2697
IsSwitchedOn_dishwasher,"['Walk_dishwasher', 'SwitchOn_dishwasher']","['Walk_dishwasher', 'SwitchOn_dishwasher']","['Walk', 'SwitchOn']",['dishwasher'],False,False,37,37,2,0.0009779930114746094,23,2,"['Walk(dishwasher)', 'SwitchOn(dishwasher)']",128
IsNear_self_plate,['Walk_plate'],['Walk_plate'],['Walk'],['plate'],False,False,36,36,1,0.0003216266632080078,15,1,['Walk(plate)'],113
